"start","end","seqend","content","protocol_group_id","title","protocol","seq_summary_file","group"
"2019-10-15T11:36:40.823823+03:00","2019-10-17T13:24:15.852107+03:00","2019-10-17T13:24:12.406646+03:00","PAD44128","20191015_P0_Plants","20191015_P0_DistichlisPalmeriAP","07335040c02a08bf1d64d5da9bd2fa9303cf454f","PCT0047_20191015_113559_PAD44128_promethion_sequencing_run_20191015_P0_DistichlisPalmeriAP_sequencing_summary.txt","prom"
"2019-10-15T11:36:43.005414+03:00","2019-10-17T13:26:43.020514+03:00","2019-10-17T13:26:39.442375+03:00","PAD45977","20191015_P0_Plants","20191015_P0_SalvadoraPersicaAP","07335040c02a08bf1d64d5da9bd2fa9303cf454f","PCT0047_20191015_113559_PAD45977_promethion_sequencing_run_20191015_P0_SalvadoraPersicaAP_sequencing_summary.txt","prom"
"2022-10-24T16:27:53.454708+03:00","2022-10-26T08:46:46.866784+03:00","2022-10-26T08:46:41.852219+03:00","PAH03305","20221024_Linsheng","20221024_Linsheng25Samples","sequencing/sequencing_PRO002_DNA:FLO-PRO002:SQK-RBK110-96","sequencing_summary_PAH03305_3d5a2201.txt","prom"
"2022-10-31T09:14:08.533008+03:00","2022-11-03T09:14:18.777551+03:00","2022-11-03T09:14:16.196897+03:00","PAI98039","20221031_P4U3_smic","20221031_P4U3_smic","sequencing/sequencing_PRO002_DNA_long_read:FLO-PRO002:SQK-ULK001","sequencing_summary_PAI98039_dbbb6693.txt","prom"
"2023-03-26T16:18:04.138141+03:00","2023-03-29T16:21:50.688479+03:00","2023-03-29T16:19:11.409574+03:00","PAM81578","20230326_P9U1","20230326_P9U1_Ziziphus","sequencing/sequencing_PRO114_DNA_e8_2_260T:FLO-PRO114M:SQK-LSK114:260","sequencing_summary_PAM81578_1bf4c958_1c1d12a0.txt","prom"
"2023-04-01T23:44:36.617803+03:00","2023-04-03T08:36:28.811214+03:00","2023-04-03T08:36:13.385435+03:00","PAM81526","20230327_P9U1","20230327_P9U1_Leptadenia","sequencing/sequencing_PRO114_DNA_e8_2_260T:FLO-PRO114M:SQK-ULK114:260","sequencing_summary_PAM81526_56281697_d98d6e34.txt","prom"
"2023-03-27T12:06:24.688282+03:00","2023-04-01T22:26:16.257083+03:00","2023-03-30T12:07:32.122726+03:00","PAM81526","20230327_P9U1","20230327_P9U1_Leptadenia","sequencing/sequencing_PRO114_DNA_e8_2_260T:FLO-PRO114M:SQK-ULK114:260","sequencing_summary_PAM81526_de5d0e37_023d77cc.txt","prom"
"2023-04-01T23:44:36.617803+03:00","2023-04-03T08:36:28.811214+03:00","2023-04-03T08:36:13.385435+03:00","PAM81526","20230327_P9U1","20230327_P9U1_Leptadenia","sequencing/sequencing_PRO114_DNA_e8_2_260T:FLO-PRO114M:SQK-ULK114:260","sequencing_summary_PAM81526_56281697_d98d6e34.txt","prom"
"2023-03-28T14:24:08.193764+03:00","2023-04-02T12:22:57.227001+03:00","2023-03-31T14:25:16.258973+03:00","PAG72972","20230328_P9U1","20230328_P9U1_Mimusops","sequencing/sequencing_PRO114_DNA_e8_2_260T:FLO-PRO114M:SQK-LSK114:260","sequencing_summary_PAG72972_5d3c38c9_cf8728e5.txt","prom"
"2023-04-19T13:19:22.710425+03:00","2023-04-22T13:19:34.766380+03:00","2023-04-22T13:19:32.410421+03:00","PAM38284","20230419_P4U2","20230419_P4U2_P0U0_A1_DirectRNA","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM38284_821a5435_f8d9fcc2.txt","prom"
"2023-04-19T13:19:24.266130+03:00","2023-04-22T13:19:36.395293+03:00","2023-04-22T13:19:33.785218+03:00","PAM38548","20230419_P4U2","20230419_P4U2_P0U0_H1_DirectRNA","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM38548_defbcd5d_93ac28e9.txt","prom"
"2023-05-01T15:13:09.111967+03:00","2023-05-05T19:13:20.637642+03:00","2023-05-05T19:13:18.858420+03:00","PAM35118","20230501_P4U2","20230501_P4U2_P0U0_A1_NoControl","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM35118_9bd76a05_78a1b6ea.txt","prom"
"2023-05-01T15:13:10.234930+03:00","2023-05-05T19:13:23.319446+03:00","2023-05-05T19:13:18.901639+03:00","PAM35253","20230501_P4U2","20230501_P4U2_P0U0_A3_5X_NoControl","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM35253_2089749e_66f9bff7.txt","prom"
"2023-05-10T13:03:36.185849+03:00","2023-05-14T17:03:49.167506+03:00","2023-05-14T17:03:46.020506+03:00","PAM37629","20230510_P4U2_P0U0_A-H","20230510_P4U2_P0U0_A12","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM37629_5400258a_616862b9.txt","prom"
"2023-05-10T17:06:28.821346+03:00","2023-05-14T21:06:41.418414+03:00","2023-05-14T21:06:38.593719+03:00","PAM35260","20230510_P4U2_P0U0_A-H","20230510_P4U2_P0U0_A31","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM35260_ecf5cd9e_e95c8b5a.txt","prom"
"2023-05-10T17:06:27.973145+03:00","2023-05-14T21:06:41.619159+03:00","2023-05-14T21:06:37.278678+03:00","PAM38856","20230510_P4U2_P0U0_A-H","20230510_P4U2_P0U0_A41","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM38856_7b35eb08_0443ffd5.txt","prom"
"2023-05-10T17:06:28.083884+03:00","2023-05-14T21:06:38.810639+03:00","2023-05-14T21:06:36.971830+03:00","PAM38503","20230510_P4U2_P0U0_A-H","20230510_P4U2_P0U0_H22","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM38503_ef1274ab_413a008a.txt","prom"
"2023-05-10T13:03:37.014843+03:00","2023-05-14T17:03:50.423701+03:00","2023-05-14T17:03:46.852276+03:00","PAM38036","20230510_P4U2_P0U0_A-H","20230510_P4U2_P0U0_H52","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM38036_d995b6d6_bce46eb7.txt","prom"
"2023-05-11T14:55:14.892653+03:00","2023-05-15T08:06:35.644746+03:00","2023-05-15T08:06:32.342821+03:00","PAM35031","20230510_P4U2_P0U0_A-H","20230511_P4U2_P0U0_H42","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM35031_57990317_a6d71eb5.txt","prom"
"2023-05-11T16:04:50.090581+03:00","2023-05-14T12:55:18.019886+03:00","2023-05-14T12:54:01.446077+03:00","PAG72976","20230511_P7U1","20230511_P7U1_M1tes","sequencing/sequencing_PRO114_DNA_e8_2_260T:FLO-PRO114M:SQK-RBK114-96:260","sequencing_summary_PAG72976_e83f7a30_2ad2505b.txt","prom"
"2023-05-21T11:48:42.301917+03:00","2023-05-28T04:32:23.142679+03:00","2023-05-24T15:38:02.271566+03:00","PAM36149","20230521_P22U2","20230521_P22U2_run1","sequencing/sequencing_PRO114_DNA_e8_2_400K:FLO-PRO114M:SQK-RBK114-96:400","sequencing_summary_PAM36149_793c2231_710935ca.txt","prom"
"2023-05-23T13:33:04.722903+03:00","2023-05-30T20:14:45.478764+03:00","2023-05-28T08:12:59.403150+03:00","PAM46469","20230522_P22U2_run3","20230522_P22U2_run3","sequencing/sequencing_PRO114_DNA_e8_2_400K:FLO-PRO114M:SQK-RBK114-96:400","sequencing_summary_PAM46469_3f6fb1a6_1beed751.txt","prom"
"2023-05-22T13:39:43.125714+03:00","2023-05-23T08:47:37.936673+03:00","2023-05-23T08:47:35.441050+03:00","PAM36714","20230522_P4U4","20230522_P4U4_G1","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM36714_fe932941_dc55570d.txt","prom"
"2023-05-22T13:39:46.430958+03:00","2023-05-23T08:47:37.510971+03:00","2023-05-23T08:47:35.398180+03:00","PAM35078","20230522_P4U4","20230522_P4U4_R1","sequencing/sequencing_PRO002_RNA:FLO-PRO002:SQK-RNA002","sequencing_summary_PAM35078_305587ab_db9fd8b2.txt","prom"
"2023-05-23T10:56:12.156313+03:00","2023-05-24T18:19:35.383280+03:00","2023-05-24T13:22:43.738859+03:00","PAM35942","20230523_P22U2_Run2","20230523_P22U2_Run2","sequencing/sequencing_PRO114_DNA_e8_2_400K:FLO-PRO114M:SQK-RBK114-96:400","sequencing_summary_PAM35942_eb8469dd_f150a09c.txt","prom"
"2023-05-24T15:17:00.487047+03:00","2023-05-25T15:53:15.389772+03:00","2023-05-25T15:50:59.540908+03:00","PAM36167","20230524_P22U2_run2_recovered_lib_2","20230524_P22U2_run2_recovered_lib_2","sequencing/sequencing_PRO114_DNA_e8_2_400K:FLO-PRO114M:SQK-RBK114-96:400","sequencing_summary_PAM36167_591b9f04_f30e7714.txt","prom"
"2023-05-24T13:57:11.761852+03:00","2023-05-26T00:12:02.523404+03:00","2023-05-25T15:50:35.445573+03:00","PAM35765","20230524_P22U2_run2_recovered_lib","20230524_P22U2_run2_recovered_lib","sequencing/sequencing_PRO114_DNA_e8_2_400K:FLO-PRO114M:SQK-RBK114-96:400","sequencing_summary_PAM35765_bad579a9_8861f377.txt","prom"
"2023-05-24T11:35:33.671973+03:00","2023-05-30T19:02:45.263071+03:00","2023-05-28T08:13:22.632583+03:00","PAK82976","20230524_P22U2_run4","20230524_P22U2_run4","sequencing/sequencing_PRO114_DNA_e8_2_400K:FLO-PRO114M:SQK-RBK114-96:400","sequencing_summary_PAK82976_b3e4f187_51d08009.txt","prom"
"2023-05-25T11:16:55.609317+03:00","2023-05-29T19:53:32.799723+03:00","2023-05-28T08:13:09.824476+03:00","PAM34836","20230525_P22U2_run2","20230525_P22U2_run2","sequencing/sequencing_PRO114_DNA_e8_2_400K:FLO-PRO114M:SQK-RBK114-96:400","sequencing_summary_PAM34836_5522e43d_3f6600b6.txt","prom"
"2023-05-29T18:21:20.228555+03:00","2023-05-30T18:26:33.406547+03:00","2023-05-30T14:44:21.964885+03:00","PAO07925","20230529_POU1_FishGenomes","20230529_POU1_Cundulatus","sequencing/sequencing_PRO114_DNA_e8_2_400K:FLO-PRO114M:SQK-LSK114:400","sequencing_summary_PAO07925_cc36e899_23b34695.txt","prom"
